question,answer,tags,type_q,media
Dans quelle ville est ce monument,Paris,géographie,text,https://upload.wikimedia.org/wikipedia/commons/a/a8/Tour_Eiffel_Wikimedia_Commons.jpg
Capitale de la France,Paris,géographie,text,
Capitale de l'Allemagne,Berlin,géographie,text,
Capitale de l'Italie,Rome,géographie,text,
Capitale de l'Espagne,Madrid,géographie,text,
Capitale du Portugal,Lisbonne,géographie,text,
Capitale des Pays-Bas,Amsterdam,géographie,text,
Capitale de la Belgique,Bruxelles,géographie,text,
Capitale de la Suisse,Berne,géographie,text,
Capitale de l'Autriche,Vienne,géographie,text,
Capitale de la Pologne,Varsovie,géographie,text,
Plus grand océan du monde,Pacifique,géographie,text,
Plus grand désert du monde,Sahara,géographie,text,
Plus long fleuve du monde,Nil,géographie,text,
Plus haute montagne du monde,Everest,géographie,text,
Continent le plus peuplé,Asie,géographie,text,
Pays le plus grand du monde,Russie,géographie,text,
Pays le plus peuplé du monde,Chine,géographie,text,
Langue la plus parlée au monde,Mandarin,géographie,text,
Capitale du Japon,Tokyo,géographie,text,
Capitale du Canada,Ottawa,géographie,text,
Auteur de 1984,George Orwell,littérature,text,
Auteur de Harry Potter,J K Rowling,littérature,text,
Auteur des Misérables,Victor Hugo,littérature,text,
Auteur de L'Étranger,Albert Camus,littérature,text,
Auteur de Don Quichotte,Miguel de Cervantes,littérature,text,
Auteur de Roméo et Juliette,William Shakespeare,littérature,text,
Auteur de Madame Bovary,Gustave Flaubert,littérature,text,
Auteur du Petit Prince,Antoine de Saint Exupéry,littérature,text,
Auteur de Germinal,Émile Zola,littérature,text,
Auteur de L'Odyssée,Homère,littérature,text,
Date de la Révolution française,1789,histoire,text,
Date de la chute de l'Empire romain d'Occident,476,histoire,text,
Date de la découverte de l'Amérique,1492,histoire,text,
Date de la Première Guerre mondiale,1914,histoire,text,
Date de la Seconde Guerre mondiale,1939,histoire,text,
Premier empereur français,Napoléon Bonaparte,histoire,text,
Roi Soleil,Louis XIV,histoire,text,
Premier président des États-Unis,George Washington,histoire,text,
Mur tombé en 1989,Mur de Berlin,histoire,text,
Capitale de l'Empire romain,Rome,histoire,text,
Symbole chimique de l'eau,H2O,science,text,
Planète la plus proche du Soleil,Mercure,science,text,
Planète rouge,Mars,science,text,
Plus grand organe du corps humain,Peau,science,text,
Nombre de continents sur Terre,7,science,text,
Vitesse de la lumière,300000 km/s,science,text,
Gaz principal de l'air,Azote,science,text,
Organe qui pompe le sang,Cœur,science,text,
Unité de force,Newton,science,text,
Créateur de la théorie de la relativité,Einstein,science,text,
Compositeur de la 9e symphonie,Beethoven,art,text,
Peintre de la Joconde,Léonard de Vinci,art,text,
Peintre de la Nuit étoilée,Van Gogh,art,text,
Musée célèbre à Paris,Louvre,art,text,
Peintre de Guernica,Pablo Picasso,art,text,
Auteur de la Divine Comédie,Dante,art,text,
Opéra célèbre de Mozart,La Flûte enchantée,art,text,
Danse classique,Ballet,art,text,
Instrument à cordes avec archet,Violon,art,text,
Art japonais du pliage,Origami,art,text,
Devise de la France,Liberté égalité fraternité,culture,text,
Monnaie de l'Union européenne,Euro,culture,text,
Fête nationale française,14 juillet,culture,text,
Sport le plus populaire au monde,Football,culture,text,
Nombre de joueurs dans une équipe de football,11,sport,text,
Jeux olympiques tous les combien d'années,4,sport,text,
Pays d'origine du judo,Japon,sport,text,
Sport avec une raquette et un volant,Badminton,sport,text,
Tournoi de tennis en France,Roland Garros,sport,text,
Sport avec un panier,Basketball,sport,text,
Créateur de Microsoft,Bill Gates,technologie,text,
Créateur d'Apple,Steve Jobs,technologie,text,
Langage utilisé pour le web,HTML,technologie,text,
Moteur de recherche le plus utilisé,Google,technologie,text,
Réseau social professionnel,LinkedIn,technologie,text,
Application de messagerie populaire,WhatsApp,technologie,text,
Entreprise de streaming vidéo,Netflix,technologie,text,
Créateur de Facebook,Mark Zuckerberg,technologie,text,
Système d'exploitation de Google,Android,technologie,text,
Langage Python créé par,Guido van Rossum,technologie,text,
Animal le plus rapide,Guépard,nature,text,
Animal le plus grand,Baleine bleue,nature,text,
Oiseau symbole de paix,Colombe,nature,text,
Plus grand mammifère terrestre,Éléphant,nature,text,
Roi de la jungle,Lion,nature,text,
Animal qui change de couleur,Caméléon,nature,text,
Animal nocturne volant,Chauve souris,nature,text,
Plus grand reptile,Crocodile,nature,text,
Insecte producteur de miel,Abeille,nature,text,
Plus grand félin,Tigre,nature,text,
